Journal Link,TiC Mxene sensor,Functional Group,Response Time (in min),Current density (in μA/cm2),Detection Range (in M),Compound detected,EN of functional group ,Atomic polarizability of functional group (in Å³),Mobility of functional group (in ×10⁻⁸ m²/V·s),Covalent Radii of functional group (in pm),Chemical formula of compound detected,N/O ratio,N/C ratio,C/H ratio,C/O ratio
https://www.sciencedirect.com/science/article/pii/S0141813023041570,Graphene/TiC,–O,9,1480,5.55556*10-17 - 1.11111*10-8,Carcinoembryonic antigen(CEA),3.44,0.785,20.64,66,C3394H5266N930O1076S15,0.8643,0.274,0.6445,3.1542
https://www.sciencedirect.com/science/article/pii/S0141813023041570,Graphene/TiC ,–NH2,9,1480,5.55556*10-17 - 1.11111*10-8,Carcinoembryonic antigen(CEA),3.04,1.096,7.62,71,C3394H5266N930O1076S15,0.8643,0.274,0.6445,3.1542
https://www.sciencedirect.com/science/article/pii/S0141813023041570,Graphene/TiC ,–F,9,1480,5.55556*10-17 - 1.11111*10-8,Carcinoembryonic antigen(CEA),3.98,0.554,5.74,57,C3394H5266N930O1076S15,0.8643,0.274,0.6445,3.1542
https://www.nature.com/articles/s41598-025-26754-y,PANI/TiC/Au ,–NH–,,452.707,7.03482*10-17 - 7.03482*10-14,Prostate-specific antigen (PSA),3.04,1.096,7.62,71,C1292H2020N352O361S15,0.975,0.2724,0.6396,3.5789
https://www.mdpi.com/2079-6374/14/6/261,GO/TiC/CNT,–O,,1775.7,10-6 - 9770*10-6,Hydrogen Peroxide (H2O2),3.44,0.785,20.64,66,H2O2,0,,0,0
https://www.sciencedirect.com/science/article/pii/S0026265X25000864?ref=pdf_download&fr=RR-2&rr=9bdc7c6e09f57eb2,TiC/Au,–F,20,27.2,1.28205*10-13 - 1.28205*10-9,Neuron specific enolase(NSE),3.98,0.554,5.74,57,C2089H3317N569O651S14,0.874,0.27238,0.6298,3.2089
https://www.sciencedirect.com/science/article/pii/S0026265X25000864?ref=pdf_download&fr=RR-2&rr=9bdc7c6e09f57eb2,TiC/Au,–O,20,27.2,1.28205*10-13 - 1.28205*10-9,Neuron specific enolase(NSE),3.44,0.785,20.64,66,C2089H3317N569O651S14,0.874,0.27238,0.6298,3.2089
https://pubs.acs.org/doi/10.1021/acsabm.4c01379,TiC/Ag,–OH,,742.723,1.48214*10-12 - 2.66785*10-10,Tumor necrosis factor-α (TNF-α),3.44,0.785,20.64,66,C1152H1825N313O337S6,0.92878,0.2717,0.6312,3.4184
https://link.springer.com/article/10.1007/s00604-025-06968-7#MOESM1,IL/TiC,–NH2,,25.1497,0.005*10-6 - 300*10-6,Tryptophan (Trp),3.04,1.096,7.62,71,C11H12N2O2,1,0.1818,0.9166,5.5
https://link.springer.com/article/10.1007/s00604-025-06968-7#MOESM1,IL/TiC,–F,,25.1497,0.005*10-6 - 300*10-6,Tryptophan (Trp),3.98,0.554,5.74,57,C11H12N2O2,1,0.1818,0.9166,5.5
https://link.springer.com/article/10.1007/s10800-023-02065-w#Tab1,Au/GO/TiC,–O,,19955.555,10-5 - 21*10-3,Glucose,3.44,0.785,20.64,66,C6H12O6,0,0,0.5,1
https://www.sciencedirect.com/science/article/pii/S2468519422001203?via%3Dihub#tbl2,TiC/Cu2O,–O,0.0833,4843.75,10-5 - 3*10-2,Glucose,3.44,0.785,20.64,66,C6H12O6,0,0,0.5,1
https://www.sciencedirect.com/science/article/pii/S2468519422001203?via%3Dihub#tbl2,TiC/Cu2O,–OH,0.0833,4843.75,10-5 - 3*10-2,Glucose,3.44,0.785,20.64,66,C6H12O6,0,0,0.5,1
https://pubs.acs.org/doi/10.1021/acsabm.5c01857,TiC/Apt,═O,3,7258.064,5.405*10-17 - 5.405*10-7 ,Human epidermal growth factor receptor 2 (HER-2),,0.785,20.64,66,C6066H9519N1695O1818S82,0.93234,0.2794,0.6372,3.3366
https://pubs.acs.org/doi/10.1021/acsabm.5c01857,TiC/Apt,–OH,3,7258.064,5.405*10-17 - 5.405*10-7 ,Human epidermal growth factor receptor 2 (HER-2),3.44,0.785,20.64,66,C6066H9519N1695O1818S82,0.93234,0.2794,0.6372,3.3366
https://pubs.acs.org/doi/10.1021/acsabm.5c01857,TiC/Apt,–F,3,7258.064,5.405*10-17 - 5.405*10-7 ,Human epidermal growth factor receptor 2 (HER-2),3.98,0.554,5.74,57,C6066H9519N1695O1818S82,0.93234,0.2794,0.6372,3.3366
https://www.sciencedirect.com/science/article/pii/S0956566318306857?pes=vor&utm_source=scopus&getft_integrator=scopus,aminosilane/TiC,–OH,,2600,5.55556*10-16 -  1.11111*10-8,Carcinoembryonic antigen(CEA),3.44,0.785,20.64,66,C3394H5266N930O1076S15,0.8643,0.274,0.6455,3.1543
https://www.sciencedirect.com/science/article/pii/S0956566318306857?pes=vor&utm_source=scopus&getft_integrator=scopus,aminosilane/TiC,–F,,2600,5.55556*10-16 -  1.11111*10-8,Carcinoembryonic antigen(CEA),3.98,0.554,5.74,57,C3394H5266N930O1076S15,0.8643,0.274,0.6455,3.1543
https://www.sciencedirect.com/science/article/pii/S1567539425003123,Au/NH₂-UiO-66/NH₂/TiC,–NH2,,3.11653,10-12 - 10-9,miRNA-122,3.04,1.096,7.62,71,C210H214N82O136P22,0.6029,0.3905,0.9813,1.5441
https://www.sciencedirect.com/science/article/pii/S1567539425003123,Au/NH₂-UiO-66/NH₂/TiC,–F,,3.11653,10-12 - 10-9,miRNA-122,3.98,0.554,5.74,57,C210H214N82O136P22,0.6029,0.3905,0.9813,1.5441
